system:index,ID,distance_1,distance_10,distance_11,distance_12,distance_13,distance_14,distance_15,distance_16,distance_17,distance_18,distance_19,distance_2,distance_20,distance_21,distance_22,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,treated,.geo
2_316,1317.0,131.54847015454038,54.120236510939236,54.120236510939236,54.120236510939236,54.120236510939236,42.5205832509386,42.5205832509386,42.5205832509386,42.5205832509386,42.5205832509386,42.5205832509386,102.82509421342633,42.5205832509386,42.5205832509386,42.5205832509386,102.82509421342633,54.120236510939236,54.120236510939236,54.120236510939236,54.120236510939236,54.120236510939236,54.120236510939236,0,"{""type"":""Point"",""coordinates"":[-61.097703836877066,-11.137914912502966]}"
2_317,1318.0,24.698178070456937,3.0,3.0,3.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,"{""type"":""Point"",""coordinates"":[-61.658352384704685,-11.153535246508747]}"
2_318,1319.0,,,,,,,,,,,,,,,,,,,,,,,0,"{""type"":""Point"",""coordinates"":[-61.058819502047484,-11.385236717194008]}"
2_319,1320.0,,,,,,,,,,,,,,,,,,,,,,,0,"{""type"":""Point"",""coordinates"":[-60.436922956936066,-10.92804234521559]}"
2_320,1321.0,189.66285877841239,70.22819946431775,70.22819946431775,70.22819946431775,18.027756377319946,18.027756377319946,18.027756377319946,18.027756377319946,18.027756377319946,18.027756377319946,18.027756377319946,101.71037311896953,18.027756377319946,18.027756377319946,18.027756377319946,99.60923651951158,70.22819946431775,70.22819946431775,70.22819946431775,70.22819946431775,70.22819946431775,70.22819946431775,0,"{""type"":""Point"",""coordinates"":[-60.76628034099008,-10.281328007817692]}"
2_321,1322.0,,,,,,,,,,,,,,,,,,,,,,,0,"{""type"":""Point"",""coordinates"":[-62.06527056183298,-10.341169908421273]}"
2_322,1323.0,5.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,5.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,5.0,5.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0,"{""type"":""Point"",""coordinates"":[-60.93828121377916,-11.164874309737668]}"
2_323,1324.0,114.21471008587291,103.04368005850722,103.04368005850722,72.24956747275377,72.24956747275377,59.54829972383762,59.54829972383762,59.54829972383762,59.54829972383762,59.54829972383762,59.54829972383762,114.21471008587291,59.54829972383762,59.54829972383762,59.54829972383762,103.04368005850722,103.04368005850722,103.04368005850722,103.04368005850722,103.04368005850722,103.04368005850722,103.04368005850722,0,"{""type"":""Point"",""coordinates"":[-60.40674173082219,-10.846052541845106]}"
2_324,1325.0,19.1049731745428,6.4031242374328485,6.4031242374328485,6.4031242374328485,6.0,1.0,1.0,1.0,1.0,1.0,1.0,8.94427190999916,1.0,1.0,1.0,8.94427190999916,8.94427190999916,6.4031242374328485,6.4031242374328485,6.4031242374328485,6.4031242374328485,6.4031242374328485,0,"{""type"":""Point"",""coordinates"":[-61.51229580968595,-11.73630243577642]}"
2_325,1326.0,,,,,,,,,,,,,,,,,,,,,,,0,"{""type"":""Point"",""coordinates"":[-61.97211316306506,-11.672899583340323]}"
2_326,1327.0,,,,,,,,,,,,,,,,,,,,,,,0,"{""type"":""Point"",""coordinates"":[-61.338008856358776,-11.582890575545768]}"
